Center Stage Theatre	279	$27,400	
St. Martin De Porres Academy	39	$19,160	
Music Haven	317	$19,113	
BHcare	36	$15,925	
Elm City ChamberFest	206	$14,150	
Boys & Girls Club of the Lower Naugatuck Valley	39	$14,083	
IRIS-Integrated Refugee & Immigrant Services	112	$13,141	
Project Access of New Haven	81	$11,720	
Neighborhood Music School	226	$11,555	
Elm Shakespeare Company	84	$10,801	
Area Congregations Together	29	$10,315	
New Haven Land Trust	125	$10,100	
Elm City Internationals	168	$8,964	
New Haven Chorale	110	$8,371	
TEAM	41	$7,750	
Greater New Haven Community Chorus	166	$7,535	
New Haven Ecology Project (Common Ground)	71	$7,300	
Housatonic Council, Boy Scouts of America	47	$7,150	
Life Haven	9	$7,030	
Arts Council of Greater New Haven	40	$7,010	
Valley United Way	18	$6,825	
East Rock Village (HomeHaven)	94	$6,770	
Squash Haven	149	$6,765	
Shelton High School Robotics Team	58	$6,495	
New Haven Ballet	108	$6,415	
New Haven International Festival of Arts & Ideas	19	$6,350	
Ansonia Public Schools	14	$6,304	
Connecticut Food Bank	56	$6,295	
Christian Community Action	69	$6,021	
Girl Scouts of Connecticut	2	$6,000	
Gesell Institute of Child Development	15	$5,815	
New Haven Reads Community Book Bank Inc	93	$5,770	
Hygeia Foundation	93	$5,585	
New Haven Family Alliance	48	$5,585	
New Haven Symphony Orchestra	25	$5,380	
Griffin Hospital	6	$5,200	
Leadership Education and Athletics in Partnership	28	$5,200	
Cove Center for Grieving Children	10	$4,575	
Elm City Dance Collective	35	$4,510	
Friends Center for Children	34	$4,475	
Columbus House	52	$4,425	
Ball & Socket Arts	50	$4,010	
Neighborhood Housing Services of New Haven	64	$3,825	
Pequeñas Ligas Hispanas De New Haven	95	$3,755	
Site Projects	29	$3,605	
New Haven Legal Assistance Association	28	$3,575	
Solar Youth	53	$3,375	
All Our Kin	30	$3,366	
New Haven Urban Resources Initiative	42	$3,270	
Whitney Players	87	$3,255	
CMHC Foundation - Connecticut Mental Health Center Foundation	35	$3,250	
New Haven Free Public Library Foundation	50	$3,210	
Dwight Hall at Yale	40	$3,170	
Greater New Haven Community Loan Fund	33	$3,161	
Read to Grow	25	$3,158	
New Haven Diaper Bank	39	$3,155	
Creative Arts Workshop	43	$3,080	
Masters Manna	24	$2,990	
Downtown Evening Soup Kitchen	14	$2,855	
Boys & Girls Club of New Haven	15	$2,835	
Valley Independent Sentinel (Online Journalism Project)	50	$2,755	
New Haven Oratorio Choir	31	$2,725	
New Haven Home Recovery	25	$2,700	
Shelton Historical Society	17	$2,675	
Lower Naugatuck Valley Parent Child Resource Center	21	$2,650	
New Haven Preservation Trust	23	$2,645	
R Kids Family Center	16	$2,610	
Orchard House	13	$2,510	
Jewish Federation of Greater New Haven	22	$2,489	
Community Dining Room	3	$2,485	
Artspace	36	$2,465	
CitySeed	33	$2,457	
Community Action Agency of New Haven	28	$2,425	
Amity Teen Center	29	$2,350	
Friends of the Ansonia Nature Center	5	$2,200	
Arts for Learning Connecticut (formerly known as Young Audiences of Connecticut)	43	$2,190	
INROADS New England Region	20	$2,175	
Community Mediation	10	$2,175	
Long Wharf Theatre	19	$2,000	
Shubert Theater (CAPA)	12	$1,975	
Towers Foundation	14	$1,958	
Clifford W Beers Guidance Clinic	17	$1,925	
Fair Haven Community Health Center	22	$1,900	
Women and Family Life Center	28	$1,850	
Christian Counseling and Family Life Center	14	$1,775	
Legacy Theatre	15	$1,775	
The Salvation Army (Greater Valley Corps)	4	$1,775	
Crossroads	29	$1,760	
Valley YMCA	8	$1,750	
Apt Foundation	13	$1,725	
United Way of Greater New Haven	8	$1,700	
Literacy Center of Milford	25	$1,675	
Community Soup Kitchen	8	$1,675	
Beth-El Center	15	$1,668	
Vantage Group	26	$1,650	
JUNTA for Progressive Action	12	$1,600	
Connecticut Center for Arts & Technology	8	$1,575	
FISH of Greater New Haven	11	$1,575	
Leila Day Nurseries	27	$1,555	
New Haven Colony Historical Society	17	$1,550	
Institute Library (New Haven Young Men's Institute)	28	$1,500	
Connecticut Center for Child Development	16	$1,500	
New Haven Leon Sister City Project	24	$1,480	
Shoreline Greenway Trail	8	$1,410	
Higher Heights Youth Empowerment Programs	20	$1,400	
Gateway Community College Foundation	15	$1,400	
DataHaven	17	$1,385	
Habitat for Humanity of Greater New Haven	21	$1,375	
Career Resources	10	$1,350	
Agency on Aging of South Central Connecticut	15	$1,350	
Bethesda Nursery School	7	$1,350	
Continuum of Care	14	$1,275	
Community Fund for Women & Girls	11	$1,275	
Seymour Pink	22	$1,275	
Progreso Latino Fund	6	$1,250	
New Haven Farms	23	$1,225	
Connecticut Health I-Team	12	$1,200	
Shelton Land Conservation Trust	7	$1,200	
American Red Cross - Connecticut	4	$1,175	
American Foundation for the Blind	16	$1,165	
Edith B Jackson Child Care Program	22	$1,135	
Visiting Nurse Association of South Central Connecticut	8	$1,080	
Catholic Charities Archdiocese of Hartford	3	$1,075	
Fellowship Place	12	$1,050	
Oxford Historical Society, Inc.	12	$1,050	
Father McKenna St. Vincent de Paul Shoppe	17	$1,025	
True Colors	12	$1,025	
Planned Parenthood of Southern New England	8	$1,000	
Gaylord Hospital	3	$1,000	
Latina Army	1	$1,000	
Westville Community Nursery School	18	$986	
Jewish Family Service of New Haven	10	$938	
End Hunger Connecticut	18	$900	
Citywide Youth Coalition	17	$880	
Connecticut Forest & Park Association	4	$875	
Healthy Eyes Alliance (Formally known as Prevent Blindness Tri-State)	7	$850	
Literacy Volunteers of Greater New Haven	12	$825	
